KitapAdı,Yazar,Yayıncı,KaçKişiOylamış,fiyat
Dura Mater, Serkan Karaismailoğlu,ELMA YAYINEVİ,152 oylama yapılmış.," 10,30"
Dune Çocukları, Frank Herbert,İTHAKİ YAYINLARI,184 oylama yapılmış.," 20,00"
İnce Memed 1, Yaşar Kemal,YAPI KREDİ YAYINLARI,3558 oylama yapılmış.," 9,34"
Bilinmeyen Bir Kadının Mektubu (Karton Kapak), Stefan Zweig,TÜRKİYE İŞ BANKASI KÜLTÜR YAYINLARI,14114 oylama yapılmış.," 65,00"
Gerçek Tıp & Yitik Şifanın İzinde, Aidin Salih,YİTİK ŞİFA,2168 oylama yapılmış.," 32,46"
30 Günde 10 Yıl,Prof. Dr. Yavuz Yörükoğlu,HAYY KİTAP,236 oylama yapılmış.," 58,00"
Veronika Ölmek İstiyor, Paulo Coelho,CAN YAYINLARI,3416 oylama yapılmış.," 28,99"
Aile İçinde, Hayati İnanç,PROFİL KİTAP,Yeterince oylama yapılmamıştır.," 38,00"
Tutunamayanlar / Bütün Eserleri 1, Bekir Develi,İLETİŞİM YAYINLARI,5422 oylama yapılmış.," 18,99"
Arachnoid Mater, Oğuz Atay,ELMA YAYINEVİ,602 oylama yapılmış.," 6,00"
Balıkçı ve Oğlu, Serkan Karaismailoğlu,İNKILAP KİTABEVİ,311 oylama yapılmış.," 3,00"
Yaşamak, Zülfü Livaneli,JAGUAR KİTAP,1238 oylama yapılmış.," 60,00"
Haritada Kaybolmak, Yu Hua ,GÜNIŞIĞI KİTAPLIĞI,979 oylama yapılmış.," 29,99"
Bağırmayan Anneler, Vladimir Tumanov,HAYY KİTAP,2997 oylama yapılmış.," 28,00"
Güneşi Uyandıralım, Hatice Kübra Tongar,CAN YAYINLARI,4167 oylama yapılmış.," 13,11"
Kitaplardan Korkan Çocuk, Jose Mauro De Vasconcelos,CAN ÇOCUK YAYINLARI,1671 oylama yapılmış.," 33,00"
Geç Kalan, Susanna Tamaro,DOĞAN KİTAP,23 oylama yapılmış.," 16,50"
